Date,Item_ID,Item_Name,Category,Subcategory,Unit,Current_Stock,Reorder_Level,Daily_Usage,Lead_Time,Price_per_Unit,Supplier_Name,Seasonal_Factor,Waste_Percentage
2024-01-01,1,anchovies,Non-Veg,Fish,kg,18.86,6.23,1.97,3,40,Supplier B,0.83,1.98
2024-01-01,2,bean sprouts,Veg,Vegetable,kg,14.83,8.89,2.6,2,450,Supplier A,0.9,0.91
2024-01-01,3,beef,Non-Veg,Meat,kg,18.38,7.92,2.93,1,600,Supplier B,1.03,1.02
2024-01-01,4,beef bacon,Non-Veg,Meat,kg,23.93,4.4,4.07,2,250,Supplier A,1.01,4.14
2024-01-01,5,black pepper,Veg,Grocery,kg,10.94,8.71,3.63,2,250,Supplier C,1.32,3.11
2024-01-01,6,black pepper sauce,Veg,Grocery,liter,17.14,8.69,0.92,1,35,Supplier C,0.87,0.34
2024-01-01,7,black tea,Veg,Vegetable,kg,13.87,6.74,0.64,4,40,Supplier B,1.05,1.03
2024-01-01,8,butter,Veg,Dairy,kg,10.06,9.58,3.31,3,50,Supplier A,1.29,3.65
2024-01-01,9,cheese,Veg,Dairy,kg,10.51,8.96,3.51,3,40,Supplier C,1.07,0.85
2024-01-01,10,chicken,Non-Veg,Meat,kg,8.68,5.19,1.0,3,50,Supplier A,1.18,3.04
2024-01-01,11,chicken thigh,Non-Veg,Meat,kg,19.84,5.5,2.0,4,6,Supplier B,1.02,4.55
2024-01-01,12,chili,Veg,Grocery,kg,6.42,6.92,1.23,1,450,Supplier B,1.38,0.15
2024-01-01,13,chili sauce,Veg,Grocery,liter,8.24,3.15,2.43,3,450,Supplier A,1.26,1.21
2024-01-01,14,chives,Veg,Vegetable,kg,10.04,5.49,4.6,2,40,Supplier B,0.97,1.35
2024-01-01,15,cockles,Non-Veg,Fish,kg,12.17,9.19,2.17,3,250,Supplier C,1.45,4.11
2024-01-01,16,coconut milk,Veg,Dairy,liter,20.31,7.42,4.72,2,250,Supplier B,1.15,3.64
2024-01-01,17,coleslaw,Veg,Vegetable,kg,10.08,8.16,2.83,1,50,Supplier C,0.83,2.22
2024-01-01,18,condensed milk,Veg,Dairy,liter,20.91,7.34,4.0,4,50,Supplier A,1.2,3.71
2024-01-01,19,cream,Veg,Dairy,liter,21.450000000000003,8.12,2.19,1,450,Supplier A,1.11,2.98
2024-01-01,20,cucumber,Veg,Grocery,kg,20.65,3.62,3.04,2,50,Supplier B,1.42,0.6
2024-01-01,21,curry,Veg,Vegetable,kg,13.239999999999998,8.31,2.04,1,250,Supplier B,1.01,2.54
2024-01-01,22,egg,Non-Veg,Poultry,pieces,18.68,6.81,1.36,1,50,Supplier B,1.13,0.86
2024-01-01,23,eggs,Non-Veg,Poultry,pieces,14.9,4.72,2.0,4,6,Supplier B,1.34,3.04
2024-01-01,24,evaporated milk,Veg,Dairy,liter,10.89,4.94,1.69,1,250,Supplier B,0.84,2.1
2024-01-01,25,fish broth,Non-Veg,Fish,liter,16.95,6.98,3.39,1,70,Supplier A,1.48,3.23
2024-01-01,26,flat rice noodles,Veg,Grain,kg,18.92,9.06,1.0,3,50,Supplier C,1.17,0.16
2024-01-01,27,flour,Veg,Grain,kg,20.62,6.29,0.7,2,600,Supplier C,1.06,4.57
2024-01-01,28,fries,Veg,Vegetable,kg,18.89,6.32,2.68,2,450,Supplier C,1.49,2.91
2024-01-01,29,galangal,Veg,Vegetable,kg,12.23,8.63,1.85,4,35,Supplier B,1.17,3.67
2024-01-01,30,garlic,Veg,Grocery,kg,10.67,7.84,3.0,1,6,Supplier B,1.5,2.55
2024-01-01,31,ghee,Veg,Dairy,kg,16.92,9.02,4.92,3,280,Supplier C,0.85,0.85
2024-01-01,32,ginger,Veg,Grocery,kg,15.36,4.43,4.15,2,600,Supplier B,1.27,2.28
2024-01-01,33,kaya,Veg,Vegetable,kg,12.71,8.32,1.47,3,35,Supplier A,1.15,4.44
2024-01-01,34,lemon,Veg,Fruit,kg,16.92,7.02,0.8,4,250,Supplier B,1.38,3.91
2024-01-01,35,lemongrass,Veg,Fruit,kg,16.46,7.58,0.86,1,280,Supplier C,1.41,2.85
2024-01-01,36,mint,Veg,Herb,kg,21.3,6.18,1.48,4,40,Supplier A,1.48,0.84
2024-01-01,37,mushrooms,Veg,Vegetable,kg,16.32,5.72,2.21,1,40,Supplier A,1.14,1.95
2024-01-01,38,onion,Veg,Grocery,kg,22.44,3.38,8.0,4,6,Supplier C,0.87,2.01
2024-01-01,39,palm sugar,Veg,Grocery,kg,20.51,6.78,4.3,4,40,Supplier C,1.0,1.78
2024-01-01,40,peanuts,Veg,Vegetable,kg,8.83,7.83,2.92,2,280,Supplier A,0.81,0.74
2024-01-01,41,prawns,Non-Veg,Fish,kg,15.07,3.3,4.79,1,280,Supplier C,0.88,4.26
2024-01-01,42,red beans,Veg,Vegetable,kg,9.43,8.79,3.0,3,50,Supplier C,1.29,1.66
2024-01-01,43,rice,Veg,Grain,kg,10.08,5.51,3.97,1,600,Supplier C,1.4,4.57
2024-01-01,44,rice flour jelly,Veg,Grain,kg,9.78,5.71,3.82,3,450,Supplier A,1.47,1.02
2024-01-01,45,rice noodles,Veg,Grain,kg,15.5,4.7,2.51,1,70,Supplier A,0.93,3.69
2024-01-01,46,sambal,Veg,Vegetable,kg,24.82,3.39,4.88,3,50,Supplier A,1.05,4.44
2024-01-01,47,shrimp paste,Non-Veg,Fish,kg,14.03,9.04,3.22,1,40,Supplier A,1.45,3.99
2024-01-01,48,soft-boiled eggs,Non-Veg,Poultry,liter,20.93,6.05,8.0,2,6,Supplier B,1.48,0.06
2024-01-01,49,soy sauce,Veg,Grocery,liter,19.52,8.47,3.09,3,40,Supplier C,1.45,1.52
2024-01-01,50,spaghetti,Veg,Vegetable,kg,20.87,7.01,1.51,2,50,Supplier B,0.89,4.11
2024-01-01,51,spices,Veg,Grocery,kg,18.38,7.92,2.93,1,600,Supplier B,1.03,1.02
2024-01-01,52,sugar syrup,Veg,Grocery,liter,23.45,5.88,8.0,4,50,Supplier A,1.27,2.37
2024-01-01,53,tamarind,Veg,Grocery,kg,18.32,5.75,2.63,1,280,Supplier C,1.44,2.85
2024-01-01,54,tandoori masala,Veg,Vegetable,kg,28.9,8.27,9.0,1,50,Supplier C,1.32,2.84
2024-01-01,55,vegetable broth,Veg,Vegetable,liter,15.77,5.65,4.3,3,250,Supplier C,1.1,2.5
2024-01-01,56,water,Veg,Vegetable,liter,22.86,5.28,4.54,1,40,Supplier C,1.27,2.18
2024-01-01,57,white bread,Veg,Grain,kg,10.99,8.47,1.01,1,450,Supplier C,1.04,1.4
2024-01-01,58,yogurt,Veg,Dairy,kg,18.37,7.37,1.83,2,250,Supplier C,0.81,3.34
2024-01-02,1,anchovies,Non-Veg,Fish,kg,22.42,4.01,2.73,3,40,Supplier C,1.2,0.99
2024-01-02,2,bean sprouts,Veg,Vegetable,kg,15.0,8.11,3.46,3,450,Supplier A,1.05,1.24
2024-01-02,3,beef,Non-Veg,Meat,kg,9.85,6.89,1.97,3,600,Supplier C,1.41,1.7
2024-01-02,4,beef bacon,Non-Veg,Meat,kg,11.46,4.12,0.64,2,250,Supplier A,0.9,1.57
2024-01-02,5,black pepper,Veg,Grocery,kg,14.9,8.24,5.0,4,250,Supplier A,0.8,3.37
2024-01-02,6,black pepper sauce,Veg,Grocery,liter,23.23,6.26,4.39,3,35,Supplier A,1.12,3.69
2024-01-02,7,black tea,Veg,Vegetable,kg,22.87,3.21,3.93,3,40,Supplier B,0.89,3.46
2024-01-02,8,butter,Veg,Dairy,kg,15.19,7.65,3.05,2,50,Supplier A,1.14,0.68
2024-01-02,9,cheese,Veg,Dairy,kg,18.61,9.51,3.14,3,40,Supplier C,0.98,4.7
2024-01-02,10,chicken,Non-Veg,Meat,kg,22.78,8.38,3.0,3,50,Supplier B,1.1,2.06
2024-01-02,11,chicken thigh,Non-Veg,Meat,kg,26.53,8.49,9.0,4,6,Supplier A,0.96,4.63
2024-01-02,12,chili,Veg,Grocery,kg,19.0,3.84,1.54,3,450,Supplier B,0.95,0.88
2024-01-02,13,chili sauce,Veg,Grocery,liter,21.4,3.35,3.19,3,450,Supplier B,0.95,2.5
2024-01-02,14,chives,Veg,Vegetable,kg,15.74,6.03,1.66,2,40,Supplier B,1.21,4.45
2024-01-02,15,cockles,Non-Veg,Fish,kg,16.88,6.9,1.35,3,250,Supplier A,1.17,4.71
2024-01-02,16,coconut milk,Veg,Dairy,liter,11.68,3.1,2.28,3,250,Supplier B,1.31,3.53
2024-01-02,17,coleslaw,Veg,Vegetable,kg,20.65,3.62,3.04,2,50,Supplier B,1.42,0.6
2024-01-02,18,condensed milk,Veg,Dairy,liter,9.43,8.79,3.0,3,50,Supplier C,1.29,1.66
2024-01-02,19,cream,Veg,Dairy,liter,19.46,3.35,1.91,4,450,Supplier C,1.24,4.58
2024-01-02,20,cucumber,Veg,Grocery,kg,12.92,6.92,0.81,1,50,Supplier C,1.3,1.11
2024-01-02,21,curry,Veg,Vegetable,kg,15.83,6.01,3.07,4,250,Supplier B,1.13,4.55
2024-01-02,22,egg,Non-Veg,Poultry,pieces,8.57,5.46,1.03,3,50,Supplier A,1.41,2.89
2024-01-02,23,eggs,Non-Veg,Poultry,pieces,16.47,4.7,8.0,2,6,Supplier B,1.36,1.56
2024-01-02,24,evaporated milk,Veg,Dairy,liter,18.1,6.58,4.06,3,250,Supplier A,1.49,0.63
2024-01-02,25,fish broth,Non-Veg,Fish,liter,14.82,8.38,2.65,3,70,Supplier A,0.9,0.96
2024-01-02,26,flat rice noodles,Veg,Grain,kg,19.4,4.89,9.0,3,50,Supplier B,1.2,4.33
2024-01-02,27,flour,Veg,Grain,kg,15.74,8.98,4.85,2,600,Supplier C,0.97,3.59
2024-01-02,28,fries,Veg,Vegetable,kg,16.93,9.09,1.99,1,450,Supplier A,1.03,2.21
2024-01-02,29,galangal,Veg,Vegetable,kg,10.63,4.78,3.54,3,35,Supplier A,1.48,3.33
2024-01-02,30,garlic,Veg,Grocery,kg,9.68,5.45,4.0,4,6,Supplier B,0.95,0.04
2024-01-02,31,ghee,Veg,Dairy,kg,8.07,5.09,0.86,1,280,Supplier C,1.39,1.16
2024-01-02,32,ginger,Veg,Grocery,kg,20.62,6.29,0.7,2,600,Supplier C,1.06,4.57
2024-01-02,33,kaya,Veg,Vegetable,kg,14.3,6.07,0.62,3,35,Supplier B,1.13,0.18
2024-01-02,34,lemon,Veg,Fruit,kg,10.65,8.06,2.72,3,250,Supplier B,1.34,2.86
2024-01-02,35,lemongrass,Veg,Fruit,kg,23.84,8.51,4.51,1,280,Supplier C,1.37,4.71
2024-01-02,36,mint,Veg,Herb,kg,19.06,7.0,2.02,2,40,Supplier B,0.83,1.98
2024-01-02,37,mushrooms,Veg,Vegetable,kg,19.5,9.14,3.06,1,40,Supplier B,1.18,0.51
2024-01-02,38,onion,Veg,Grocery,kg,19.46,5.11,7.0,1,6,Supplier B,0.99,4.99
2024-01-02,39,palm sugar,Veg,Grocery,kg,10.66,5.02,1.4,2,40,Supplier A,1.33,4.76
2024-01-02,40,peanuts,Veg,Vegetable,kg,21.8,4.77,4.53,3,280,Supplier C,1.06,0.91
2024-01-02,41,prawns,Non-Veg,Fish,kg,10.98,5.06,2.99,4,280,Supplier B,0.83,4.6
2024-01-02,42,red beans,Veg,Vegetable,kg,18.48,3.91,4.0,1,50,Supplier A,1.16,0.51
2024-01-02,43,rice,Veg,Grain,kg,9.15,9.88,1.53,4,600,Supplier C,0.97,2.65
2024-01-02,44,rice flour jelly,Veg,Grain,kg,21.87,9.29,4.52,1,450,Supplier C,1.18,0.43
2024-01-02,45,rice noodles,Veg,Grain,kg,13.77,3.04,1.1,3,70,Supplier A,1.41,3.12
2024-01-02,46,sambal,Veg,Vegetable,kg,19.19,5.02,4.52,2,50,Supplier B,0.8,0.59
2024-01-02,47,shrimp paste,Non-Veg,Fish,kg,15.5,3.64,3.63,2,40,Supplier A,0.81,1.34
2024-01-02,48,soft-boiled eggs,Non-Veg,Poultry,liter,21.08,4.54,7.0,3,6,Supplier C,0.81,2.39
2024-01-02,49,soy sauce,Veg,Grocery,liter,9.91,4.8,3.52,4,40,Supplier B,0.89,3.78
2024-01-02,50,spaghetti,Veg,Vegetable,kg,18.31,8.38,4.98,1,50,Supplier A,1.06,3.79
2024-01-02,51,spices,Veg,Grocery,kg,15.91,3.41,4.01,3,600,Supplier C,1.23,3.77
2024-01-02,52,sugar syrup,Veg,Grocery,liter,8.379999999999999,7.52,3.0,4,50,Supplier B,1.07,0.03
2024-01-02,53,tamarind,Veg,Grocery,kg,15.07,3.3,4.79,1,280,Supplier C,0.88,4.26
2024-01-02,54,tandoori masala,Veg,Vegetable,kg,14.27,8.01,8.0,1,50,Supplier C,0.87,4.01
2024-01-02,55,vegetable broth,Veg,Vegetable,liter,15.83,6.01,3.07,4,250,Supplier B,1.13,4.55
2024-01-02,56,water,Veg,Vegetable,liter,22.8,9.0,2.92,3,40,Supplier A,1.17,1.34
2024-01-02,57,white bread,Veg,Grain,kg,6.42,6.92,1.23,1,450,Supplier B,1.38,0.15
2024-01-02,58,yogurt,Veg,Dairy,kg,15.77,5.65,4.3,3,250,Supplier C,1.1,2.5
2024-01-03,1,anchovies,Non-Veg,Fish,kg,20.78,5.74,1.81,1,40,Supplier C,0.8,3.83
2024-01-03,2,bean sprouts,Veg,Vegetable,kg,14.83,8.89,2.6,2,450,Supplier A,0.9,0.91
2024-01-03,3,beef,Non-Veg,Meat,kg,12.31,6.19,1.81,3,600,Supplier A,1.07,3.09
2024-01-03,4,beef bacon,Non-Veg,Meat,kg,18.65,3.73,2.8,2,250,Supplier C,1.19,2.81
2024-01-03,5,black pepper,Veg,Grocery,kg,13.12,6.68,3.72,4,250,Supplier B,1.22,4.97
2024-01-03,6,black pepper sauce,Veg,Grocery,liter,6.43,5.6,0.79,1,35,Supplier A,1.12,2.74
2024-01-03,7,black tea,Veg,Vegetable,kg,11.44,4.86,0.92,2,40,Supplier C,1.49,2.95
2024-01-03,8,butter,Veg,Dairy,kg,20.87,7.01,1.51,2,50,Supplier B,0.89,4.11
2024-01-03,9,cheese,Veg,Dairy,kg,21.83,8.78,4.65,3,40,Supplier B,1.43,3.76
2024-01-03,10,chicken,Non-Veg,Meat,kg,11.75,3.51,6.0,1,50,Supplier B,0.95,3.33
2024-01-03,11,chicken thigh,Non-Veg,Meat,kg,14.28,5.05,3.0,1,6,Supplier C,1.27,4.81
2024-01-03,12,chili,Veg,Grocery,kg,14.83,8.89,2.6,2,450,Supplier A,0.9,0.91
2024-01-03,13,chili sauce,Veg,Grocery,liter,8.24,3.15,2.43,3,450,Supplier A,1.26,1.21
2024-01-03,14,chives,Veg,Vegetable,kg,17.17,3.45,4.35,4,40,Supplier C,1.14,1.1
2024-01-03,15,cockles,Non-Veg,Fish,kg,16.92,7.02,0.8,4,250,Supplier B,1.38,3.91
2024-01-03,16,coconut milk,Veg,Dairy,liter,15.01,3.62,3.74,2,250,Supplier C,1.17,2.81
2024-01-03,17,coleslaw,Veg,Vegetable,kg,13.49,9.9,1.15,4,50,Supplier B,0.86,2.96
2024-01-03,18,condensed milk,Veg,Dairy,liter,10.45,3.39,4.0,1,50,Supplier C,1.15,4.27
2024-01-03,19,cream,Veg,Dairy,liter,12.54,5.21,2.24,4,450,Supplier C,1.3,4.74
2024-01-03,20,cucumber,Veg,Grocery,kg,16.85,9.93,3.14,3,50,Supplier B,1.27,3.67
2024-01-03,21,curry,Veg,Vegetable,kg,17.78,4.74,2.2,3,250,Supplier A,1.14,0.56
2024-01-03,22,egg,Non-Veg,Poultry,pieces,13.96,5.5,2.68,3,50,Supplier A,0.97,1.75
2024-01-03,23,eggs,Non-Veg,Poultry,pieces,11.44,4.64,2.0,1,6,Supplier B,1.44,1.39
2024-01-03,24,evaporated milk,Veg,Dairy,liter,17.79,4.4,3.63,3,250,Supplier B,0.89,3.75
2024-01-03,25,fish broth,Non-Veg,Fish,liter,7.34,5.74,0.7,4,70,Supplier C,1.46,1.09
2024-01-03,26,flat rice noodles,Veg,Grain,kg,19.02,5.2,9.0,4,50,Supplier C,1.23,4.63
2024-01-03,27,flour,Veg,Grain,kg,19.64,5.05,1.76,3,600,Supplier A,1.29,4.13
2024-01-03,28,fries,Veg,Vegetable,kg,9.78,5.71,3.82,3,450,Supplier A,1.47,1.02
2024-01-03,29,galangal,Veg,Vegetable,kg,20.52,8.89,2.43,1,35,Supplier A,1.1,2.4
2024-01-03,30,garlic,Veg,Grocery,kg,9.68,5.45,4.0,4,6,Supplier B,0.95,0.04
2024-01-03,31,ghee,Veg,Dairy,kg,14.23,9.63,2.3,4,280,Supplier A,0.9,4.56
2024-01-03,32,ginger,Veg,Grocery,kg,11.36,9.61,0.75,1,600,Supplier C,1.31,3.92
2024-01-03,33,kaya,Veg,Vegetable,kg,23.23,6.26,4.39,3,35,Supplier A,1.12,3.69
2024-01-03,34,lemon,Veg,Fruit,kg,15.63,6.42,1.73,3,250,Supplier B,1.32,2.22
2024-01-03,35,lemongrass,Veg,Fruit,kg,8.83,7.83,2.92,2,280,Supplier A,0.81,0.74
2024-01-03,36,mint,Veg,Herb,kg,15.23,4.13,2.28,2,40,Supplier C,1.01,1.04
2024-01-03,37,mushrooms,Veg,Vegetable,kg,18.07,5.96,4.85,4,40,Supplier B,1.49,4.03
2024-01-03,38,onion,Veg,Grocery,kg,20.6,6.75,5.0,3,6,Supplier B,1.0,0.7
2024-01-03,39,palm sugar,Veg,Grocery,kg,9.05,4.31,1.61,4,40,Supplier B,1.01,1.44
2024-01-03,40,peanuts,Veg,Vegetable,kg,16.58,5.85,3.32,1,280,Supplier C,1.25,1.27
2024-01-03,41,prawns,Non-Veg,Fish,kg,15.07,3.3,4.79,1,280,Supplier C,0.88,4.26
2024-01-03,42,red beans,Veg,Vegetable,kg,15.29,3.4,9.0,3,50,Supplier A,1.13,4.88
2024-01-03,43,rice,Veg,Grain,kg,9.31,7.61,3.82,4,600,Supplier A,1.41,1.12
2024-01-03,44,rice flour jelly,Veg,Grain,kg,21.87,9.29,4.52,1,450,Supplier C,1.18,0.43
2024-01-03,45,rice noodles,Veg,Grain,kg,11.83,7.34,1.1,1,70,Supplier A,0.82,4.95
2024-01-03,46,sambal,Veg,Vegetable,kg,20.86,3.87,1.75,2,50,Supplier A,1.03,4.94
2024-01-03,47,shrimp paste,Non-Veg,Fish,kg,18.33,6.1,3.19,1,40,Supplier B,1.28,3.59
2024-01-03,48,soft-boiled eggs,Non-Veg,Poultry,liter,14.53,3.26,5.0,1,6,Supplier C,1.44,2.69
2024-01-03,49,soy sauce,Veg,Grocery,liter,18.16,6.95,4.51,4,40,Supplier C,1.18,1.81
2024-01-03,50,spaghetti,Veg,Vegetable,kg,10.34,4.39,1.31,3,50,Supplier B,1.11,1.92
2024-01-03,51,spices,Veg,Grocery,kg,21.09,3.7,3.7,1,600,Supplier A,1.43,2.1
2024-01-03,52,sugar syrup,Veg,Grocery,liter,16.14,3.35,8.0,1,50,Supplier A,1.5,0.68
2024-01-03,53,tamarind,Veg,Grocery,kg,10.34,3.48,3.55,1,280,Supplier B,1.23,1.74
2024-01-03,54,tandoori masala,Veg,Vegetable,kg,16.61,4.77,1.0,2,50,Supplier B,1.16,3.33
2024-01-03,55,vegetable broth,Veg,Vegetable,liter,11.06,9.87,1.92,4,250,Supplier C,1.07,3.18
2024-01-03,56,water,Veg,Vegetable,liter,16.32,5.72,2.21,1,40,Supplier A,1.14,1.95
2024-01-03,57,white bread,Veg,Grain,kg,12.0,3.55,1.9,3,450,Supplier B,0.86,4.25
2024-01-03,58,yogurt,Veg,Dairy,kg,7.85,6.44,2.73,1,250,Supplier A,0.95,3.7
2024-01-04,1,anchovies,Non-Veg,Fish,kg,19.85,7.15,4.12,3,40,Supplier B,1.38,4.75
2024-01-04,2,bean sprouts,Veg,Vegetable,kg,18.71,5.0,1.32,1,450,Supplier C,1.19,2.88
2024-01-04,3,beef,Non-Veg,Meat,kg,23.44,9.79,3.95,4,600,Supplier A,1.0,2.58
2024-01-04,4,beef bacon,Non-Veg,Meat,kg,20.48,5.13,2.61,2,250,Supplier C,1.16,0.88
2024-01-04,5,black pepper,Veg,Grocery,kg,19.27,3.84,0.81,4,250,Supplier C,1.23,4.21
2024-01-04,6,black pepper sauce,Veg,Grocery,liter,21.19,6.72,1.53,1,35,Supplier B,0.83,1.92
2024-01-04,7,black tea,Veg,Vegetable,kg,19.22,6.12,3.97,2,40,Supplier A,1.46,2.34
2024-01-04,8,butter,Veg,Dairy,kg,18.61,6.47,0.84,4,50,Supplier A,1.43,2.58
2024-01-04,9,cheese,Veg,Dairy,kg,18.07,5.96,4.85,4,40,Supplier B,1.49,4.03
2024-01-04,10,chicken,Non-Veg,Meat,kg,18.38,7.75,2.0,4,50,Supplier C,1.01,0.74
2024-01-04,11,chicken thigh,Non-Veg,Meat,kg,14.14,7.84,7.0,3,6,Supplier C,1.34,0.57
2024-01-04,12,chili,Veg,Grocery,kg,14.5,5.75,3.92,1,450,Supplier A,0.84,0.16
2024-01-04,13,chili sauce,Veg,Grocery,liter,15.41,5.05,4.39,4,450,Supplier A,1.43,2.03
2024-01-04,14,chives,Veg,Vegetable,kg,10.33,5.37,4.63,3,40,Supplier A,1.36,1.89
2024-01-04,15,cockles,Non-Veg,Fish,kg,15.73,6.28,4.7,4,250,Supplier C,1.05,3.49
2024-01-04,16,coconut milk,Veg,Dairy,liter,19.9,8.9,0.71,4,250,Supplier B,1.46,2.26
2024-01-04,17,coleslaw,Veg,Vegetable,kg,19.86,4.24,4.22,1,50,Supplier A,0.99,1.71
2024-01-04,18,condensed milk,Veg,Dairy,liter,25.97,9.05,9.0,4,50,Supplier B,1.01,4.69
2024-01-04,19,cream,Veg,Dairy,liter,19.54,8.59,2.29,1,450,Supplier C,0.93,1.6
