date,ingredient_name,unit,historical_ingredient_usage,contributing_menu_items,covered_menu_quantity
2024-01-01,Anchovies,kg,9.45,1,315.0
2024-01-01,Bean Sprouts,kg,11.8,1,236.0
2024-01-01,Beef,kg,6.4799999999999995,1,36.0
2024-01-01,Beef Bacon,kg,41.150000000000006,1,823.0
2024-01-01,Black Pepper,kg,1.6460000000000001,1,823.0
2024-01-01,Black Pepper Sauce,liter,13.5,1,270.0
2024-01-01,Black Tea,kg,8.875,2,1775.0
2024-01-01,Butter,kg,32.46,1,1623.0
2024-01-01,Cheese,kg,24.689999999999998,1,823.0
2024-01-01,Chicken,kg,179.12,2,930.0
2024-01-01,Chicken Thigh,kg,54.0,1,270.0
2024-01-01,Chili,kg,0.36,1,36.0
2024-01-01,Chili Sauce,liter,6.88,1,344.0
2024-01-01,Chives,kg,2.36,1,236.0
2024-01-01,Cockles,kg,11.8,1,236.0
2024-01-01,Coconut Milk,liter,157.5,3,1038.0
2024-01-01,Coleslaw,kg,27.0,1,270.0
2024-01-01,Condensed Milk,liter,20.6,1,412.0
2024-01-01,Cream,liter,7.300000000000001,1,73.0
2024-01-01,Cucumber,kg,21.15,2,705.0
2024-01-01,Curry,liter,135.0,1,1350.0
2024-01-01,Egg,pieces,1665.0,2,1665.0
2024-01-01,Eggs,pieces,823.0,1,823.0
2024-01-01,Evaporated Milk,liter,20.6,1,412.0
2024-01-01,Fish Broth,liter,108.3,1,361.0
2024-01-01,Flat Rice Noodles,kg,35.4,1,236.0
2024-01-01,Flour,kg,135.0,1,1350.0
2024-01-01,Fries,kg,40.5,1,270.0
2024-01-01,Galangal,kg,0.36,1,36.0
2024-01-01,Garlic,kg,10.03,3,1003.0
2024-01-01,Ghee,kg,27.0,1,1350.0
2024-01-01,Ginger,kg,9.299999999999999,2,930.0
2024-01-01,Kaya,kg,48.69,1,1623.0
2024-01-01,Lemon,kg,40.89,1,1363.0
2024-01-01,Lemongrass,kg,0.36,1,36.0
2024-01-01,Mint,kg,1.805,1,361.0
2024-01-01,Mushrooms,kg,10.95,1,73.0
2024-01-01,Onion,kg,3.6500000000000004,1,73.0
2024-01-01,Palm Sugar,kg,34.35,1,687.0
2024-01-01,Peanuts,kg,9.45,1,315.0
2024-01-01,Prawns,kg,18.88,1,236.0
2024-01-01,Red Beans,kg,34.35,1,687.0
2024-01-01,Rice,kg,125.5,2,659.0
2024-01-01,Rice Flour Jelly,kg,68.7,1,687.0
2024-01-01,Rice Noodles,kg,54.15,1,361.0
2024-01-01,Sambal,kg,9.45,1,315.0
2024-01-01,Shrimp Paste,kg,3.61,1,361.0
2024-01-01,Soft-Boiled Eggs,pieces,3246.0,1,1623.0
2024-01-01,Soy Sauce,liter,4.72,1,236.0
2024-01-01,Spaghetti,kg,98.75999999999999,1,823.0
2024-01-01,Spices,kg,0.72,1,36.0
2024-01-01,Sugar Syrup,liter,40.89,1,1363.0
2024-01-01,Tamarind,kg,3.61,1,361.0
2024-01-01,Tandoori Masala,kg,11.719999999999999,1,586.0
2024-01-01,Vegetable Broth,liter,18.25,1,73.0
2024-01-01,Water,liter,67.5,1,1350.0
2024-01-01,White Bread,kg,162.3,1,1623.0
2024-01-01,Yogurt,liter,58.6,1,586.0
2024-01-02,Anchovies,kg,25.41,1,847.0
2024-01-02,Beef,kg,66.24,1,368.0
2024-01-02,Beef Bacon,kg,0.6000000000000001,1,12.0
2024-01-02,Black Pepper,kg,0.024,1,12.0
2024-01-02,Black Pepper Sauce,liter,23.650000000000002,1,473.0
2024-01-02,Black Tea,kg,5.635,2,1127.0
2024-01-02,Butter,kg,29.1,1,1455.0
2024-01-02,Cheese,kg,0.36,1,12.0
2024-01-02,Chicken,kg,63.6,1,318.0
2024-01-02,Chicken Thigh,kg,94.60000000000001,1,473.0
2024-01-02,Chili,kg,3.68,1,368.0
2024-01-02,Coconut Milk,liter,386.8,3,2456.0
2024-01-02,Coleslaw,kg,47.300000000000004,1,473.0
2024-01-02,Condensed Milk,liter,38.5,1,770.0
2024-01-02,Cream,liter,19.700000000000003,1,197.0
2024-01-02,Cucumber,kg,2.19,1,73.0
2024-01-02,Curry,liter,153.60000000000002,1,1536.0
2024-01-02,Egg,pieces,2383.0,2,2383.0
2024-01-02,Eggs,pieces,12.0,1,12.0
2024-01-02,Evaporated Milk,liter,38.5,1,770.0
2024-01-02,Fish Broth,liter,21.9,1,73.0
2024-01-02,Flour,kg,153.60000000000002,1,1536.0
2024-01-02,Fries,kg,70.94999999999999,1,473.0
2024-01-02,Galangal,kg,3.68,1,368.0
2024-01-02,Garlic,kg,5.15,2,515.0
2024-01-02,Ghee,kg,30.720000000000002,1,1536.0
2024-01-02,Ginger,kg,3.18,1,318.0
2024-01-02,Kaya,kg,43.65,1,1455.0
2024-01-02,Lemon,kg,10.709999999999999,1,357.0
2024-01-02,Lemongrass,kg,3.68,1,368.0
2024-01-02,Mint,kg,0.365,1,73.0
2024-01-02,Mushrooms,kg,29.549999999999997,1,197.0
2024-01-02,Onion,kg,9.850000000000001,1,197.0
2024-01-02,Palm Sugar,kg,62.050000000000004,1,1241.0
2024-01-02,Peanuts,kg,25.41,1,847.0
2024-01-02,Red Beans,kg,62.050000000000004,1,1241.0
2024-01-02,Rice,kg,152.45999999999998,1,847.0
2024-01-02,Rice Flour Jelly,kg,124.10000000000001,1,1241.0
2024-01-02,Rice Noodles,kg,10.95,1,73.0
2024-01-02,Sambal,kg,25.41,1,847.0
2024-01-02,Shrimp Paste,kg,0.73,1,73.0
2024-01-02,Soft-Boiled Eggs,pieces,2910.0,1,1455.0
2024-01-02,Spaghetti,kg,1.44,1,12.0
2024-01-02,Spices,kg,7.36,1,368.0
2024-01-02,Sugar Syrup,liter,10.709999999999999,1,357.0
2024-01-02,Tamarind,kg,0.73,1,73.0
2024-01-02,Tandoori Masala,kg,6.36,1,318.0
2024-01-02,Vegetable Broth,liter,49.25,1,197.0
2024-01-02,Water,liter,76.80000000000001,1,1536.0
2024-01-02,White Bread,kg,145.5,1,1455.0
2024-01-02,Yogurt,liter,31.8,1,318.0
2024-01-03,Anchovies,kg,15.09,1,503.0
2024-01-03,Beef,kg,69.66,1,387.0
2024-01-03,Beef Bacon,kg,12.0,1,240.0
2024-01-03,Black Pepper,kg,0.48,1,240.0
2024-01-03,Black Tea,kg,2.48,1,496.0
2024-01-03,Butter,kg,4.64,1,232.0
2024-01-03,Cheese,kg,7.199999999999999,1,240.0
2024-01-03,Chicken,kg,56.0,1,280.0
2024-01-03,Chili,kg,3.87,1,387.0
2024-01-03,Coconut Milk,liter,221.4,3,1347.0
2024-01-03,Condensed Milk,liter,24.8,1,496.0
2024-01-03,Cream,liter,21.0,1,210.0
2024-01-03,Cucumber,kg,13.649999999999999,1,455.0
2024-01-03,Curry,liter,91.2,1,912.0
2024-01-03,Egg,pieces,1415.0,2,1415.0
2024-01-03,Eggs,pieces,240.0,1,240.0
2024-01-03,Evaporated Milk,liter,24.8,1,496.0
2024-01-03,Fish Broth,liter,136.5,1,455.0
2024-01-03,Flour,kg,91.2,1,912.0
2024-01-03,Galangal,kg,3.87,1,387.0
2024-01-03,Garlic,kg,4.9,2,490.0
2024-01-03,Ghee,kg,18.240000000000002,1,912.0
2024-01-03,Ginger,kg,2.8,1,280.0
2024-01-03,Kaya,kg,6.96,1,232.0
2024-01-03,Lemongrass,kg,3.87,1,387.0
2024-01-03,Mint,kg,2.275,1,455.0
2024-01-03,Mushrooms,kg,31.5,1,210.0
2024-01-03,Onion,kg,10.5,1,210.0
2024-01-03,Palm Sugar,kg,22.85,1,457.0
2024-01-03,Peanuts,kg,15.09,1,503.0
2024-01-03,Red Beans,kg,22.85,1,457.0
2024-01-03,Rice,kg,90.53999999999999,1,503.0
2024-01-03,Rice Flour Jelly,kg,45.7,1,457.0
2024-01-03,Rice Noodles,kg,68.25,1,455.0
2024-01-03,Sambal,kg,15.09,1,503.0
2024-01-03,Shrimp Paste,kg,4.55,1,455.0
2024-01-03,Soft-Boiled Eggs,pieces,464.0,1,232.0
2024-01-03,Spaghetti,kg,28.799999999999997,1,240.0
2024-01-03,Spices,kg,7.74,1,387.0
2024-01-03,Tamarind,kg,4.55,1,455.0
2024-01-03,Tandoori Masala,kg,5.6,1,280.0
2024-01-03,Vegetable Broth,liter,52.5,1,210.0
2024-01-03,Water,liter,45.6,1,912.0
2024-01-03,White Bread,kg,23.200000000000003,1,232.0
2024-01-03,Yogurt,liter,28.0,1,280.0
2024-01-04,Anchovies,kg,32.459999999999994,1,1082.0
2024-01-04,Bean Sprouts,kg,10.350000000000001,1,207.0
2024-01-04,Beef,kg,34.92,1,194.0
2024-01-04,Black Pepper Sauce,liter,9.55,1,191.0
2024-01-04,Black Tea,kg,9.735,2,1947.0
2024-01-04,Butter,kg,19.14,1,957.0
2024-01-04,Chicken,kg,70.8,1,354.0
2024-01-04,Chicken Thigh,kg,38.2,1,191.0
2024-01-04,Chili,kg,1.94,1,194.0
2024-01-04,Chives,kg,2.07,1,207.0
2024-01-04,Cockles,kg,10.350000000000001,1,207.0
2024-01-04,Coconut Milk,liter,456.7,3,2980.0
2024-01-04,Coleslaw,kg,19.1,1,191.0
2024-01-04,Condensed Milk,liter,79.0,1,1580.0
2024-01-04,Cream,liter,7.300000000000001,1,73.0
2024-01-04,Cucumber,kg,13.44,1,448.0
2024-01-04,Curry,liter,43.5,1,435.0
2024-01-04,Egg,pieces,1517.0,2,1517.0
2024-01-04,Evaporated Milk,liter,79.0,1,1580.0
2024-01-04,Fish Broth,liter,134.4,1,448.0
2024-01-04,Flat Rice Noodles,kg,31.049999999999997,1,207.0
2024-01-04,Flour,kg,43.5,1,435.0
2024-01-04,Fries,kg,28.65,1,191.0
2024-01-04,Galangal,kg,1.94,1,194.0
2024-01-04,Garlic,kg,4.27,2,427.0
2024-01-04,Ghee,kg,8.700000000000001,1,435.0
2024-01-04,Ginger,kg,3.54,1,354.0
2024-01-04,Kaya,kg,28.71,1,957.0
2024-01-04,Lemon,kg,11.009999999999998,1,367.0
2024-01-04,Lemongrass,kg,1.94,1,194.0
2024-01-04,Mint,kg,2.24,1,448.0
2024-01-04,Mushrooms,kg,10.95,1,73.0
2024-01-04,Onion,kg,3.6500000000000004,1,73.0
2024-01-04,Palm Sugar,kg,85.2,1,1704.0
2024-01-04,Peanuts,kg,32.459999999999994,1,1082.0
2024-01-04,Prawns,kg,16.56,1,207.0
2024-01-04,Red Beans,kg,85.2,1,1704.0
2024-01-04,Rice,kg,194.76,1,1082.0
2024-01-04,Rice Flour Jelly,kg,170.4,1,1704.0
2024-01-04,Rice Noodles,kg,67.2,1,448.0
2024-01-04,Sambal,kg,32.459999999999994,1,1082.0
2024-01-04,Shrimp Paste,kg,4.48,1,448.0
2024-01-04,Soft-Boiled Eggs,pieces,1914.0,1,957.0
2024-01-04,Soy Sauce,liter,4.14,1,207.0
2024-01-04,Spices,kg,3.88,1,194.0
2024-01-04,Sugar Syrup,liter,11.009999999999998,1,367.0
2024-01-04,Tamarind,kg,4.48,1,448.0
2024-01-04,Tandoori Masala,kg,7.08,1,354.0
2024-01-04,Vegetable Broth,liter,18.25,1,73.0
2024-01-04,Water,liter,21.75,1,435.0
2024-01-04,White Bread,kg,95.70000000000002,1,957.0
2024-01-04,Yogurt,liter,35.4,1,354.0
2024-01-05,Bean Sprouts,kg,2.1,1,42.0
2024-01-05,Beef,kg,27.54,1,153.0
2024-01-05,Beef Bacon,kg,25.8,1,516.0
2024-01-05,Black Pepper,kg,1.032,1,516.0
2024-01-05,Black Pepper Sauce,liter,2.0,1,40.0
2024-01-05,Black Tea,kg,13.9,2,2780.0
2024-01-05,Butter,kg,38.66,1,1933.0
2024-01-05,Cheese,kg,15.479999999999999,1,516.0
2024-01-05,Chicken,kg,11.8,1,59.0
2024-01-05,Chicken Thigh,kg,8.0,1,40.0
2024-01-05,Chili,kg,1.53,1,153.0
2024-01-05,Chives,kg,0.42,1,42.0
2024-01-05,Cockles,kg,2.1,1,42.0
2024-01-05,Coconut Milk,liter,79.05,2,476.0
2024-01-05,Coleslaw,kg,4.0,1,40.0
2024-01-05,Condensed Milk,liter,122.0,1,2440.0
2024-01-05,Cream,liter,9.2,1,92.0
2024-01-05,Cucumber,kg,1.5899999999999999,1,53.0
2024-01-05,Curry,liter,72.10000000000001,1,721.0
2024-01-05,Egg,pieces,721.0,1,721.0
2024-01-05,Eggs,pieces,516.0,1,516.0
2024-01-05,Evaporated Milk,liter,122.0,1,2440.0
2024-01-05,Fish Broth,liter,15.899999999999999,1,53.0
2024-01-05,Flat Rice Noodles,kg,6.3,1,42.0
2024-01-05,Flour,kg,72.10000000000001,1,721.0
2024-01-05,Fries,kg,6.0,1,40.0
2024-01-05,Galangal,kg,1.53,1,153.0
2024-01-05,Garlic,kg,1.51,2,151.0
2024-01-05,Ghee,kg,14.42,1,721.0
2024-01-05,Ginger,kg,0.59,1,59.0
2024-01-05,Kaya,kg,57.989999999999995,1,1933.0
2024-01-05,Lemon,kg,10.2,1,340.0
2024-01-05,Lemongrass,kg,1.53,1,153.0
2024-01-05,Mint,kg,0.265,1,53.0
2024-01-05,Mushrooms,kg,13.8,1,92.0
2024-01-05,Onion,kg,4.6,1,92.0
2024-01-05,Palm Sugar,kg,16.15,1,323.0
2024-01-05,Prawns,kg,3.36,1,42.0
2024-01-05,Red Beans,kg,16.15,1,323.0
2024-01-05,Rice Flour Jelly,kg,32.3,1,323.0
2024-01-05,Rice Noodles,kg,7.949999999999999,1,53.0
2024-01-05,Shrimp Paste,kg,0.53,1,53.0
2024-01-05,Soft-Boiled Eggs,pieces,3866.0,1,1933.0
2024-01-05,Soy Sauce,liter,0.84,1,42.0
2024-01-05,Spaghetti,kg,61.919999999999995,1,516.0
2024-01-05,Spices,kg,3.06,1,153.0
2024-01-05,Sugar Syrup,liter,10.2,1,340.0
2024-01-05,Tamarind,kg,0.53,1,53.0
2024-01-05,Tandoori Masala,kg,1.18,1,59.0
2024-01-05,Vegetable Broth,liter,23.0,1,92.0
2024-01-05,Water,liter,36.050000000000004,1,721.0
2024-01-05,White Bread,kg,193.3,1,1933.0
2024-01-05,Yogurt,liter,5.9,1,59.0
2024-01-06,Anchovies,kg,12.209999999999999,1,407.0
2024-01-06,Bean Sprouts,kg,20.050000000000004,1,401.0
2024-01-06,Beef,kg,43.739999999999995,1,243.0
2024-01-06,Beef Bacon,kg,5.300000000000001,1,106.0
2024-01-06,Black Pepper,kg,0.212,1,106.0
2024-01-06,Black Pepper Sauce,liter,8.8,1,176.0
2024-01-06,Black Tea,kg,15.17,2,3034.0
2024-01-06,Butter,kg,37.120000000000005,1,1856.0
2024-01-06,Cheese,kg,3.1799999999999997,1,106.0
2024-01-06,Chicken,kg,139.4,2,720.0
2024-01-06,Chicken Thigh,kg,35.2,1,176.0
2024-01-06,Chili,kg,2.43,1,243.0
2024-01-06,Chili Sauce,liter,4.6000000000000005,1,230.0
2024-01-06,Chives,kg,4.01,1,401.0
2024-01-06,Cockles,kg,20.050000000000004,1,401.0
2024-01-06,Coconut Milk,liter,330.9,3,2125.0
2024-01-06,Coleslaw,kg,17.6,1,176.0
2024-01-06,Condensed Milk,liter,114.15,1,2283.0
2024-01-06,Cucumber,kg,8.94,2,298.0
2024-01-06,Curry,liter,101.7,1,1017.0
2024-01-06,Egg,pieces,1424.0,2,1424.0
2024-01-06,Eggs,pieces,106.0,1,106.0
2024-01-06,Evaporated Milk,liter,114.15,1,2283.0
2024-01-06,Fish Broth,liter,20.4,1,68.0
2024-01-06,Flat Rice Noodles,kg,60.14999999999999,1,401.0
2024-01-06,Flour,kg,101.7,1,1017.0
2024-01-06,Fries,kg,26.4,1,176.0
2024-01-06,Galangal,kg,2.43,1,243.0
2024-01-06,Garlic,kg,7.200000000000001,2,720.0
2024-01-06,Ghee,kg,20.340000000000003,1,1017.0
2024-01-06,Ginger,kg,7.200000000000001,2,720.0
2024-01-06,Kaya,kg,55.68,1,1856.0
2024-01-06,Lemon,kg,22.529999999999998,1,751.0
2024-01-06,Lemongrass,kg,2.43,1,243.0
2024-01-06,Mint,kg,0.34,1,68.0
2024-01-06,Palm Sugar,kg,73.75,1,1475.0
2024-01-06,Peanuts,kg,12.209999999999999,1,407.0
2024-01-06,Prawns,kg,32.08,1,401.0
2024-01-06,Red Beans,kg,73.75,1,1475.0
2024-01-06,Rice,kg,119.25999999999999,2,637.0
2024-01-06,Rice Flour Jelly,kg,147.5,1,1475.0
2024-01-06,Rice Noodles,kg,10.2,1,68.0
2024-01-06,Sambal,kg,12.209999999999999,1,407.0
2024-01-06,Shrimp Paste,kg,0.68,1,68.0
2024-01-06,Soft-Boiled Eggs,pieces,3712.0,1,1856.0
2024-01-06,Soy Sauce,liter,8.02,1,401.0
2024-01-06,Spaghetti,kg,12.719999999999999,1,106.0
2024-01-06,Spices,kg,4.86,1,243.0
2024-01-06,Sugar Syrup,liter,22.529999999999998,1,751.0
2024-01-06,Tamarind,kg,0.68,1,68.0
2024-01-06,Tandoori Masala,kg,9.8,1,490.0
2024-01-06,Water,liter,50.85,1,1017.0
2024-01-06,White Bread,kg,185.6,1,1856.0
2024-01-06,Yogurt,liter,49.0,1,490.0
2024-01-07,Anchovies,kg,52.23,1,1741.0
2024-01-07,Bean Sprouts,kg,25.85,1,517.0
2024-01-07,Beef,kg,62.63999999999999,1,348.0
2024-01-07,Beef Bacon,kg,15.600000000000001,1,312.0
2024-01-07,Black Pepper,kg,0.624,1,312.0
2024-01-07,Black Pepper Sauce,liter,39.050000000000004,1,781.0
2024-01-07,Black Tea,kg,11.495,2,2299.0
2024-01-07,Butter,kg,42.22,1,2111.0
2024-01-07,Cheese,kg,9.36,1,312.0
2024-01-07,Chicken,kg,60.0,1,300.0
2024-01-07,Chicken Thigh,kg,156.20000000000002,1,781.0
2024-01-07,Chili,kg,3.4800000000000004,1,348.0
2024-01-07,Chives,kg,5.17,1,517.0
2024-01-07,Cockles,kg,25.85,1,517.0
2024-01-07,Coconut Milk,liter,407.1,3,2598.0
2024-01-07,Coleslaw,kg,78.10000000000001,1,781.0
2024-01-07,Condensed Milk,liter,69.05,1,1381.0
2024-01-07,Cream,liter,19.900000000000002,1,199.0
2024-01-07,Curry,liter,133.8,1,1338.0
2024-01-07,Egg,pieces,3079.0,2,3079.0
2024-01-07,Eggs,pieces,312.0,1,312.0
2024-01-07,Evaporated Milk,liter,69.05,1,1381.0
2024-01-07,Flat Rice Noodles,kg,77.55,1,517.0
2024-01-07,Flour,kg,133.8,1,1338.0
2024-01-07,Fries,kg,117.15,1,781.0
2024-01-07,Galangal,kg,3.4800000000000004,1,348.0
2024-01-07,Garlic,kg,4.99,2,499.0
2024-01-07,Ghee,kg,26.759999999999998,1,1338.0
2024-01-07,Ginger,kg,3.0,1,300.0
2024-01-07,Kaya,kg,63.33,1,2111.0
2024-01-07,Lemon,kg,27.54,1,918.0
2024-01-07,Lemongrass,kg,3.4800000000000004,1,348.0
2024-01-07,Mushrooms,kg,29.849999999999998,1,199.0
2024-01-07,Onion,kg,9.950000000000001,1,199.0
2024-01-07,Palm Sugar,kg,25.450000000000003,1,509.0
2024-01-07,Peanuts,kg,52.23,1,1741.0
2024-01-07,Prawns,kg,41.36,1,517.0
2024-01-07,Red Beans,kg,25.450000000000003,1,509.0
2024-01-07,Rice,kg,313.38,1,1741.0
2024-01-07,Rice Flour Jelly,kg,50.900000000000006,1,509.0
2024-01-07,Sambal,kg,52.23,1,1741.0
2024-01-07,Soft-Boiled Eggs,pieces,4222.0,1,2111.0
2024-01-07,Soy Sauce,liter,10.34,1,517.0
2024-01-07,Spaghetti,kg,37.44,1,312.0
2024-01-07,Spices,kg,6.960000000000001,1,348.0
2024-01-07,Sugar Syrup,liter,27.54,1,918.0
2024-01-07,Tandoori Masala,kg,6.0,1,300.0
2024-01-07,Vegetable Broth,liter,49.75,1,199.0
2024-01-07,Water,liter,66.9,1,1338.0
2024-01-07,White Bread,kg,211.10000000000002,1,2111.0
2024-01-07,Yogurt,liter,30.0,1,300.0
2024-01-08,Beef Bacon,kg,8.100000000000001,1,162.0
2024-01-08,Black Pepper,kg,0.324,1,162.0
2024-01-08,Black Pepper Sauce,liter,7.800000000000001,1,156.0
2024-01-08,Black Tea,kg,11.21,1,2242.0
2024-01-08,Butter,kg,36.06,1,1803.0
2024-01-08,Cheese,kg,4.86,1,162.0
2024-01-08,Chicken,kg,41.400000000000006,1,207.0
2024-01-08,Chicken Thigh,kg,31.200000000000003,1,156.0
2024-01-08,Coconut Milk,liter,79.19999999999999,1,528.0
2024-01-08,Coleslaw,kg,15.600000000000001,1,156.0
2024-01-08,Condensed Milk,liter,112.1,1,2242.0
2024-01-08,Cucumber,kg,4.26,1,142.0
2024-01-08,Curry,liter,64.9,1,649.0
